# Experimental Run Wed Feb 06 23:24:32 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"0.16723717608222569","0.0","1.0","0.0","0.0","0.16723717608222569","0.16723717608222569","score[0.16723717608222569]","0.16723717608222569","94.0","0.08199073443816667","0.0","0.16723717608222569","94.0","1000","-1","1000","Epoch=1000,Best=0.16723717608222569,Worst=0.16723717608222569,Mean=0.16723717608222569,Stdev=0.0.","250","Best=0.16723717608222569,Worst=0.804162902132768,Mean=0.17964236412663886,Stdev=0.02175890143767261."
"0.1284547100705971","0.0","1.0","0.0","0.0","0.1284547100705971","0.1284547100705971","score[0.1284547100705971]","0.1284547100705971","92.0","0.06441235589624165","0.0","0.1284547100705971","92.0","1000","-1","1000","Epoch=1000,Best=0.1284547100705971,Worst=0.1284547100705971,Mean=0.1284547100705971,Stdev=0.0.","250","Best=0.1284547100705971,Worst=0.23820960718578613,Mean=0.18681104034559762,Stdev=0.04979619786617581."
"0.19951695547213097","0.0","1.0","0.0","0.0","0.19951695547213097","0.19951695547213097","score[0.19951695547213097]","0.19951695547213097","98.0","0.08171955416735859","0.0","0.19951695547213097","98.0","1000","-1","1000","Epoch=1000,Best=0.19951695547213097,Worst=0.19951695547213097,Mean=0.19951695547213097,Stdev=0.0.","265","Best=0.19951695547213097,Worst=0.2928382626969639,Mean=0.2256309472529585,Stdev=0.028358262043786636."
"0.11278088668340314","0.0","1.0","0.0","0.0","0.11278088668340314","0.11278088668340314","score[0.11278088668340314]","0.11278088668340314","102.0","0.04996384861371922","0.0","0.11278088668340314","102.0","1000","-1","1000","Epoch=1000,Best=0.11278088668340314,Worst=0.11278088668340314,Mean=0.11278088668340314,Stdev=0.0.","250","Best=0.11278088668340314,Worst=0.3530129602175735,Mean=0.1725544891008667,Stdev=0.0666657549374025."
"0.26179527652886786","0.0","1.0","0.0","0.0","0.26179527652886786","0.26179527652886786","score[0.26179527652886786]","0.26179527652886786","96.0","0.12951171736013625","0.0","0.26179527652886786","96.0","1000","-1","1000","Epoch=1000,Best=0.26179527652886786,Worst=0.26179527652886786,Mean=0.26179527652886786,Stdev=0.0.","250","Best=0.26179527652886786,Worst=0.5473512155042143,Mean=0.3112594832546739,Stdev=0.05552928457663489."
"0.18874566610790844","0.0","1.0","0.0","0.0","0.18874566610790844","0.18874566610790844","score[0.18874566610790844]","0.18874566610790844","96.0","0.08991240419119058","0.0","0.18874566610790844","96.0","1000","-1","1000","Epoch=1000,Best=0.18874566610790844,Worst=0.18874566610790844,Mean=0.18874566610790844,Stdev=0.0.","266","Best=0.18874566610790844,Worst=0.7522908469275201,Mean=0.2617356045273783,Stdev=0.09743710126394921."
"0.13524647097318407","0.0","1.0","0.0","0.0","0.13524647097318407","0.13524647097318407","score[0.13524647097318407]","0.13524647097318407","94.0","0.056243693269217514","0.0","0.13524647097318407","94.0","1000","-1","1000","Epoch=1000,Best=0.13524647097318407,Worst=0.13524647097318407,Mean=0.13524647097318407,Stdev=0.0.","250","Best=0.13524647097318407,Worst=1.1369710307814946,Mean=0.15396261486402363,Stdev=0.05506481852069132."
"0.04091344383487555","0.0","1.0","0.0","0.0","0.04091344383487555","0.04091344383487555","score[0.04091344383487555]","0.04091344383487555","94.0","0.0161507049896229","0.0","0.04091344383487555","94.0","1000","-1","1000","Epoch=1000,Best=0.04091344383487555,Worst=0.04091344383487555,Mean=0.04091344383487555,Stdev=0.0.","265","Best=0.04091344383487555,Worst=0.6917494686695922,Mean=0.12024136192384988,Stdev=0.08379461349761612."
"0.2540088503699763","0.0","1.0","0.0","0.0","0.2540088503699763","0.2540088503699763","score[0.2540088503699763]","0.2540088503699763","94.0","0.0866654470481135","0.0","0.2540088503699763","94.0","1000","-1","1000","Epoch=1000,Best=0.2540088503699763,Worst=0.2540088503699763,Mean=0.2540088503699763,Stdev=0.0.","250","Best=0.2540088503699763,Worst=0.5794963235564574,Mean=0.2726723638813557,Stdev=0.03369868742247957."
"0.03854768080994899","0.0","1.0","0.0","0.0","0.03854768080994899","0.03854768080994899","score[0.03854768080994899]","0.03854768080994899","100.0","0.0187284885318581","0.0","0.03854768080994899","100.0","1000","-1","1000","Epoch=1000,Best=0.03854768080994899,Worst=0.03854768080994899,Mean=0.03854768080994899,Stdev=0.0.","250","Best=0.03854768080994899,Worst=0.6568423014759752,Mean=0.23268227476748152,Stdev=0.12419109202546359."
"0.128210405968948","0.0","1.0","0.0","0.0","0.128210405968948","0.128210405968948","score[0.128210405968948]","0.128210405968948","102.0","0.06858020832559109","0.0","0.128210405968948","102.0","1000","-1","1000","Epoch=1000,Best=0.128210405968948,Worst=0.128210405968948,Mean=0.128210405968948,Stdev=0.0.","250","Best=0.128210405968948,Worst=0.8627838228021925,Mean=0.13978937879829167,Stdev=0.02587080670332007."
"0.19411465594766616","0.0","1.0","0.0","0.0","0.19411465594766616","0.19411465594766616","score[0.19411465594766616]","0.19411465594766616","102.0","0.0966128456029357","0.0","0.19411465594766616","102.0","1000","-1","1000","Epoch=1000,Best=0.19411465594766616,Worst=0.19411465594766616,Mean=0.19411465594766616,Stdev=0.0.","266","Best=0.19411465594766616,Worst=0.4740270324675277,Mean=0.27014536080039747,Stdev=0.08895960865804424."
"0.0792781469563939","0.0","1.0","0.0","0.0","0.0792781469563939","0.0792781469563939","score[0.0792781469563939]","0.0792781469563939","94.0","0.04451457947399973","0.0","0.0792781469563939","94.0","1000","-1","1000","Epoch=1000,Best=0.0792781469563939,Worst=0.0792781469563939,Mean=0.0792781469563939,Stdev=0.0.","250","Best=0.0792781469563939,Worst=0.3163478526266244,Mean=0.1373306178594874,Stdev=0.05030270518726158."
"0.2479319753558383","0.0","1.0","0.0","0.0","0.2479319753558383","0.2479319753558383","score[0.2479319753558383]","0.2479319753558383","100.0","0.09976277692577662","0.0","0.2479319753558383","100.0","1000","-1","1000","Epoch=1000,Best=0.2479319753558383,Worst=0.2479319753558383,Mean=0.2479319753558383,Stdev=0.0.","266","Best=0.2479319753558383,Worst=0.7244647603121547,Mean=0.25804613109631597,Stdev=0.0347284764782619."
"0.04652519226058037","0.0","1.0","0.0","0.0","0.04652519226058037","0.04652519226058037","score[0.04652519226058037]","0.04652519226058037","90.0","0.021265132618102218","0.0","0.04652519226058037","90.0","1000","-1","1000","Epoch=1000,Best=0.04652519226058037,Worst=0.04652519226058037,Mean=0.04652519226058037,Stdev=0.0.","250","Best=0.04652519226058037,Worst=0.7451032108956084,Mean=0.145993198679926,Stdev=0.0598295470016994."
"0.11549274973494475","0.0","1.0","0.0","0.0","0.11549274973494475","0.11549274973494475","score[0.11549274973494475]","0.11549274973494475","106.0","0.06027077250658728","0.0","0.11549274973494475","106.0","1000","-1","1000","Epoch=1000,Best=0.11549274973494475,Worst=0.11549274973494475,Mean=0.11549274973494475,Stdev=0.0.","250","Best=0.11549274973494475,Worst=0.5682021939043713,Mean=0.2441020996315503,Stdev=0.08335407911979996."
"0.21325251470012604","0.0","1.0","0.0","0.0","0.21325251470012604","0.21325251470012604","score[0.21325251470012604]","0.21325251470012604","96.0","0.11851659216306305","0.0","0.21325251470012604","96.0","1000","-1","1000","Epoch=1000,Best=0.21325251470012604,Worst=0.21325251470012604,Mean=0.21325251470012604,Stdev=0.0.","250","Best=0.21325251470012604,Worst=0.893854761368796,Mean=0.23456715446416393,Stdev=0.0655850724036048."
"0.3227069173921894","0.0","1.0","0.0","0.0","0.3227069173921894","0.3227069173921894","score[0.3227069173921894]","0.3227069173921894","106.0","0.1436082289659474","0.0","0.3227069173921894","106.0","1000","-1","1000","Epoch=1000,Best=0.3227069173921894,Worst=0.3227069173921894,Mean=0.3227069173921894,Stdev=0.0.","265","Best=0.3227069173921894,Worst=0.9380200315045821,Mean=0.3880305132691806,Stdev=0.0945533946637679."
"0.2563488841236637","0.0","1.0","0.0","0.0","0.2563488841236637","0.2563488841236637","score[0.2563488841236637]","0.2563488841236637","80.0","0.12339885634806347","0.0","0.2563488841236637","80.0","1000","-1","1000","Epoch=1000,Best=0.2563488841236637,Worst=0.2563488841236637,Mean=0.2563488841236637,Stdev=0.0.","250","Best=0.2563488841236637,Worst=1.0571090934537244,Mean=0.30985816501858404,Stdev=0.061897116923582365."
"0.1641462021732471","0.0","1.0","0.0","0.0","0.1641462021732471","0.1641462021732471","score[0.1641462021732471]","0.1641462021732471","94.0","0.08085547618141004","0.0","0.1641462021732471","94.0","1000","-1","1000","Epoch=1000,Best=0.1641462021732471,Worst=0.1641462021732471,Mean=0.1641462021732471,Stdev=0.0.","250","Best=0.1641462021732471,Worst=0.5072979140199597,Mean=0.20541052617287986,Stdev=0.05340599171847779."
