# Experimental Run Tue Feb 12 01:35:51 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","83.9","NaN","91.65399999999998","91.65399999999998","NaN","90.55520000000003","0.1582820869879255","90.9","182.2092","0.11123766563084261","score[0.11123766563084261]","2.5150714226731106","957.0","NaN","80.56","0.2515071422673111","95.7","1000","-1","1000","Epoch=1000,Best=0.2515071422673111,Worst=0.2515071422673111,Mean=0.2515071422673111,Stdev=0.0.","206532","Best=0.11123766563084261,Worst=0.3198548896993709,Mean=0.22937010858782278,Stdev=0.031124298903978335."
"NaN","87.12","NaN","92.30239999999996","92.30239999999996","NaN","91.95139999999999","0.1429182577396743","93.8","184.25379999999993","0.12046909991277366","score[0.12046909991277366]","2.332038689606025","926.0","NaN","81.28","0.2332038689606025","92.6","1000","-1","1000","Epoch=1000,Best=0.2332038689606025,Worst=0.2332038689606025,Mean=0.2332038689606025,Stdev=0.0.","206843","Best=0.12046909991277366,Worst=0.27521465138872253,Mean=0.20491014140582972,Stdev=0.024516877853610126."
"NaN","86.88000000000001","NaN","92.4468","92.4468","NaN","91.85919999999999","0.113863018353583","95.4","184.306","0.11814561859372144","score[0.11814561859372144]","2.581302611922111","975.0","NaN","76.7","0.2581302611922111","97.5","1000","-1","1000","Epoch=1000,Best=0.2581302611922111,Worst=0.2581302611922111,Mean=0.2581302611922111,Stdev=0.0.","206672","Best=0.11814561859372144,Worst=0.27596688573756656,Mean=0.20427415480817304,Stdev=0.02640881301600057."
"NaN","86.82000000000001","NaN","92.11440000000002","92.11440000000002","NaN","91.66819999999998","0.16484683257056704","94.6","183.78260000000006","0.11582482245600215","score[0.11582482245600215]","2.145498704357231","918.0","NaN","73.9","0.2145498704357231","91.8","1000","-1","1000","Epoch=1000,Best=0.2145498704357231,Worst=0.2145498704357231,Mean=0.2145498704357231,Stdev=0.0.","206765","Best=0.11582482245600215,Worst=0.29571113538825766,Mean=0.21905495843211711,Stdev=0.02807920722071984."
"NaN","85.56000000000002","NaN","92.02859999999998","92.02859999999998","NaN","92.15759999999999","0.18752795437913009","94.2","184.1862","0.1189347491966775","score[0.1189347491966775]","2.2725468500606056","943.0","NaN","75.38000000000002","0.22725468500606055","94.3","1000","-1","1000","Epoch=1000,Best=0.22725468500606055,Worst=0.22725468500606055,Mean=0.22725468500606055,Stdev=0.0.","206266","Best=0.1189347491966775,Worst=0.318851801224736,Mean=0.2321624364442892,Stdev=0.035673727216407845."
"NaN","87.48","NaN","90.76440000000004","90.76440000000004","NaN","92.3866","0.1185610902527547","97.6","183.151","0.10107379628531077","score[0.10107379628531077]","2.4221215490399715","953.0","NaN","70.42","0.24221215490399714","95.3","1000","-1","1000","Epoch=1000,Best=0.24221215490399714,Worst=0.24221215490399714,Mean=0.24221215490399714,Stdev=0.0.","206516","Best=0.10107379628531077,Worst=0.3015035226115991,Mean=0.22897073796763326,Stdev=0.02672102435430451."
"NaN","87.1","NaN","91.35019999999997","91.35019999999997","NaN","92.13540000000003","0.140327640163234","94.1","183.48560000000006","0.13213525237747537","score[0.13213525237747537]","1.7995591745238988","957.0","NaN","70.64","0.17995591745238987","95.7","1000","-1","1000","Epoch=1000,Best=0.17995591745238987,Worst=0.17995591745238987,Mean=0.17995591745238987,Stdev=0.0.","206843","Best=0.13213525237747537,Worst=0.2874182556777264,Mean=0.20818250860792076,Stdev=0.03070171421421633."
"NaN","86.72","NaN","91.69039999999997","91.69039999999997","NaN","92.07740000000004","0.12803657719137956","93.9","183.76779999999988","0.1066521626382724","score[0.1066521626382724]","1.7094026279795955","945.0","NaN","76.69999999999999","0.17094026279795954","94.5","1000","-1","1000","Epoch=1000,Best=0.17094026279795954,Worst=0.17094026279795954,Mean=0.17094026279795954,Stdev=0.0.","206641","Best=0.1066521626382724,Worst=0.27478214955563124,Mean=0.19421856386699407,Stdev=0.021660984231849523."
"NaN","87.32","NaN","92.04519999999995","92.04519999999995","NaN","92.35719999999999","0.18999195428685484","93.3","184.40239999999997","0.13207692683552713","score[0.13207692683552713]","2.7549033798524936","943.0","NaN","77.74","0.27549033798524936","94.3","1000","-1","1000","Epoch=1000,Best=0.27549033798524936,Worst=0.27549033798524936,Mean=0.27549033798524936,Stdev=0.0.","206188","Best=0.13207692683552713,Worst=0.3365421222667865,Mean=0.23675558071441835,Stdev=0.03228319398408752."
"NaN","86.25999999999999","NaN","91.4818","91.4818","NaN","91.36660000000003","0.10086527674919395","91.3","182.8484","0.11260975366184126","score[0.11260975366184126]","1.6286686538002713","966.0","NaN","76.82000000000001","0.16286686538002712","96.6","1000","-1","1000","Epoch=1000,Best=0.16286686538002712,Worst=0.16286686538002712,Mean=0.16286686538002712,Stdev=0.0.","206312","Best=0.11260975366184126,Worst=0.2419401142593331,Mean=0.18798068111878086,Stdev=0.01943343691791795."
