# Experimental Run Tue Feb 12 00:43:40 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","83.9","NaN","91.89099999999996","91.89099999999996","NaN","92.7568","0.12572106967761182","97.4","184.6478","0.3969086630953929","score[0.3969086630953929]","7.51193125557963","940.0","NaN","78.06","0.751193125557963","94.0","1000","-1","1000","Epoch=1000,Best=0.751193125557963,Worst=0.751193125557963,Mean=0.751193125557963,Stdev=0.0.","0.751193125557963","184250","Best=0.3969086630953929,Worst=0.96123271781941,Mean=0.7006814971395683,Stdev=0.08314651776905274."
"NaN","87.12","NaN","92.04460000000003","92.04460000000003","NaN","91.54440000000008","0.24577017177217608","93.1","183.58900000000003","0.34977754165453084","score[0.34977754165453084]","7.1024485253860625","984.0","NaN","79.79999999999998","0.7102448525386063","98.4","1000","-1","1000","Epoch=1000,Best=0.7102448525386063,Worst=0.7102448525386063,Mean=0.7102448525386063,Stdev=0.0.","0.7102448525386063","184187","Best=0.34977754165453084,Worst=0.89818182013413,Mean=0.632322907442021,Stdev=0.07422238643260251."
"NaN","86.88000000000001","NaN","91.25319999999999","91.25319999999999","NaN","91.57400000000005","0.22216517936161412","96.6","182.8272","0.34761411050051244","score[0.34761411050051244]","6.55362240692024","970.0","NaN","74.91999999999999","0.655362240692024","97.0","1000","-1","1000","Epoch=1000,Best=0.655362240692024,Worst=0.655362240692024,Mean=0.655362240692024,Stdev=0.0.","0.655362240692024","183984","Best=0.34761411050051244,Worst=0.8366207710324511,Mean=0.6170393540632079,Stdev=0.07530792701890208."
"NaN","86.82000000000001","NaN","92.12959999999997","92.12959999999997","NaN","92.17039999999999","0.19160314372332865","93.3","184.30000000000004","0.4302033206352299","score[0.4302033206352299]","7.7397849539855095","936.0","NaN","74.41999999999999","0.7739784953985509","93.6","1000","-1","1000","Epoch=1000,Best=0.7739784953985509,Worst=0.7739784953985509,Mean=0.7739784953985509,Stdev=0.0.","0.7739784953985509","184141","Best=0.4302033206352299,Worst=0.9166570422660364,Mean=0.6909171411086489,Stdev=0.0818479845744636."
"NaN","85.56000000000002","NaN","91.17280000000004","91.17280000000004","NaN","92.01280000000001","0.16196310986781043","97.4","183.18559999999997","0.4444070859957393","score[0.4444070859957393]","6.7172696019021565","954.0","NaN","83.91999999999999","0.6717269601902156","95.4","1000","-1","1000","Epoch=1000,Best=0.6717269601902156,Worst=0.6717269601902156,Mean=0.6717269601902156,Stdev=0.0.","0.6717269601902156","184234","Best=0.4444070859957393,Worst=0.9266338633705272,Mean=0.6835665481401537,Stdev=0.08057699745428357."
"NaN","87.48","NaN","91.73240000000001","91.73240000000001","NaN","92.24599999999998","0.2855160902087087","92.4","183.9784","0.3439059037812493","score[0.3439059037812493]","5.398859767223093","975.0","NaN","75.02000000000001","0.5398859767223093","97.5","1000","-1","1000","Epoch=1000,Best=0.5398859767223093,Worst=0.5398859767223093,Mean=0.5398859767223093,Stdev=0.0.","0.5398859767223093","184140","Best=0.3439059037812493,Worst=0.8330728640454765,Mean=0.6309701276558136,Stdev=0.07135754982222611."
"NaN","87.1","NaN","92.32260000000004","92.32260000000004","NaN","91.42179999999999","0.22517149397128752","94.0","183.74439999999996","0.45093277235967044","score[0.45093277235967044]","6.43249029461818","970.0","NaN","81.94","0.6432490294618181","97.0","1000","-1","1000","Epoch=1000,Best=0.6432490294618181,Worst=0.6432490294618181,Mean=0.6432490294618181,Stdev=0.0.","0.6432490294618181","184204","Best=0.45093277235967044,Worst=0.885918740284757,Mean=0.6641105951334818,Stdev=0.07859244508564951."
"NaN","86.72","NaN","91.89219999999999","91.89219999999999","NaN","92.28479999999999","0.18815230586061668","91.8","184.17700000000008","0.3953793479539927","score[0.3953793479539927]","6.574059986718271","945.0","NaN","74.46000000000001","0.657405998671827","94.5","1000","-1","1000","Epoch=1000,Best=0.657405998671827,Worst=0.657405998671827,Mean=0.657405998671827,Stdev=0.0.","0.657405998671827","184218","Best=0.3953793479539927,Worst=0.8596852053013855,Mean=0.6301829006380525,Stdev=0.06828819541537585."
"NaN","87.32","NaN","92.08360000000002","92.08360000000002","NaN","92.00560000000004","0.21441862859817745","93.4","184.0892","0.40601064244921226","score[0.40601064244921226]","7.065618930180049","969.0","NaN","83.30000000000001","0.7065618930180049","96.9","1000","-1","1000","Epoch=1000,Best=0.7065618930180049,Worst=0.7065618930180049,Mean=0.7065618930180049,Stdev=0.0.","0.7065618930180049","184375","Best=0.40601064244921226,Worst=0.9273916968152843,Mean=0.6718892676398054,Stdev=0.07996350516162865."
"NaN","86.25999999999999","NaN","91.53119999999996","91.53119999999996","NaN","92.35080000000004","0.18762555829103805","96.3","183.88199999999998","0.3675370666547654","score[0.3675370666547654]","5.6611584802035155","995.0","NaN","86.08","0.5661158480203515","99.5","1000","-1","1000","Epoch=1000,Best=0.5661158480203515,Worst=0.5661158480203515,Mean=0.5661158480203515,Stdev=0.0.","0.5661158480203515","184266","Best=0.3675370666547654,Worst=0.839474038840607,Mean=0.6095811096787264,Stdev=0.07309337284521214."
